similarity,combination
3,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flip.t.sol', 'flop.t.sol', 'heal.t.sol', 'flap.sol', 'frob.t.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flip.t.sol', 'flop.t.sol', 'heal.t.sol', 'flap.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flip.t.sol', 'flop.t.sol', 'heal.t.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flip.t.sol', 'flop.t.sol', 'flap.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flip.t.sol', 'flap.t.sol', 'heal.sol', 'heal.t.sol', 'flap.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flip.t.sol', 'flap.t.sol', 'heal.sol', 'heal.t.sol', 'frob.t.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flip.t.sol', 'flap.t.sol', 'heal.sol', 'heal.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flip.t.sol', 'flap.t.sol', 'heal.sol', 'flap.sol', 'frob.t.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flip.t.sol', 'flap.t.sol', 'heal.sol', 'flap.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flip.t.sol', 'flap.t.sol', 'heal.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flip.t.sol', 'flap.t.sol', 'heal.t.sol', 'flap.sol', 'frob.t.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flip.t.sol', 'flap.t.sol', 'heal.t.sol', 'flap.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flip.t.sol', 'flap.t.sol', 'heal.t.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flip.t.sol', 'flap.t.sol', 'flap.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flip.t.sol', 'heal.sol', 'heal.t.sol', 'flap.sol', 'frob.t.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flip.t.sol', 'heal.sol', 'heal.t.sol', 'flap.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flip.t.sol', 'heal.sol', 'heal.t.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flip.t.sol', 'heal.sol', 'flap.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flip.t.sol', 'heal.t.sol', 'flap.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flop.t.sol', 'flap.t.sol', 'heal.sol', 'heal.t.sol', 'flap.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flop.t.sol', 'flap.t.sol', 'heal.sol', 'heal.t.sol', 'frob.t.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flop.t.sol', 'flap.t.sol', 'heal.sol', 'heal.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flop.t.sol', 'flap.t.sol', 'heal.sol', 'flap.sol', 'frob.t.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flop.t.sol', 'flap.t.sol', 'heal.sol', 'flap.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flop.t.sol', 'flap.t.sol', 'heal.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flop.t.sol', 'flap.t.sol', 'heal.t.sol', 'flap.sol', 'frob.t.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flop.t.sol', 'flap.t.sol', 'heal.t.sol', 'flap.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flop.t.sol', 'flap.t.sol', 'heal.t.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flop.t.sol', 'flap.t.sol', 'flap.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flop.t.sol', 'heal.sol', 'heal.t.sol', 'flap.sol', 'frob.t.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flop.t.sol', 'heal.sol', 'heal.t.sol', 'flap.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flop.t.sol', 'heal.sol', 'heal.t.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flop.t.sol', 'heal.sol', 'flap.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flop.t.sol', 'heal.t.sol', 'flap.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flap.t.sol', 'heal.sol', 'heal.t.sol', 'flap.sol', 'frob.t.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flap.t.sol', 'heal.sol', 'heal.t.sol', 'flap.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flap.t.sol', 'heal.sol', 'heal.t.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flap.t.sol', 'heal.sol', 'flap.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'flap.t.sol', 'heal.t.sol', 'flap.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'frob.sol', 'heal.sol', 'heal.t.sol', 'flap.sol', 'frob.t.sol', 'bite.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'flip.t.sol', 'flop.t.sol', 'flap.t.sol', 'heal.sol', 'heal.t.sol', 'flap.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'flip.t.sol', 'flop.t.sol', 'flap.t.sol', 'heal.sol', 'heal.t.sol', 'frob.t.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'flip.t.sol', 'flop.t.sol', 'flap.t.sol', 'heal.sol', 'heal.t.sol', 'bite.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'flip.t.sol', 'flop.t.sol', 'flap.t.sol', 'heal.sol', 'flap.sol', 'frob.t.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'flip.t.sol', 'flop.t.sol', 'flap.t.sol', 'heal.sol', 'flap.sol', 'bite.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'flip.t.sol', 'flop.t.sol', 'flap.t.sol', 'heal.sol', 'frob.t.sol', 'bite.sol']
2,['flop.sol', 'join.sol', 'flip.sol', 'flip.t.sol', 'flop.t.sol', 'flap.t.sol', 'heal.t.sol', 'flap.sol', 'frob.t.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'flip.t.sol', 'flop.t.sol', 'flap.t.sol', 'heal.t.sol', 'flap.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'flip.t.sol', 'flop.t.sol', 'flap.t.sol', 'heal.t.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'flip.t.sol', 'flop.t.sol', 'flap.t.sol', 'flap.sol', 'frob.t.sol', 'bite.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'flip.t.sol', 'flop.t.sol', 'heal.sol', 'heal.t.sol', 'flap.sol', 'frob.t.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'flip.t.sol', 'flop.t.sol', 'heal.sol', 'heal.t.sol', 'flap.sol', 'bite.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'flip.t.sol', 'flop.t.sol', 'heal.sol', 'heal.t.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'flip.t.sol', 'flop.t.sol', 'heal.sol', 'flap.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'flip.t.sol', 'flop.t.sol', 'heal.t.sol', 'flap.sol', 'frob.t.sol', 'bite.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'flip.t.sol', 'flap.t.sol', 'heal.sol', 'heal.t.sol', 'flap.sol', 'frob.t.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'flip.t.sol', 'flap.t.sol', 'heal.sol', 'heal.t.sol', 'flap.sol', 'bite.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'flip.t.sol', 'flap.t.sol', 'heal.sol', 'heal.t.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'flip.t.sol', 'flap.t.sol', 'heal.sol', 'flap.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'flip.t.sol', 'flap.t.sol', 'heal.t.sol', 'flap.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'flip.t.sol', 'heal.sol', 'heal.t.sol', 'flap.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'flop.t.sol', 'flap.t.sol', 'heal.sol', 'heal.t.sol', 'flap.sol', 'frob.t.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'flop.t.sol', 'flap.t.sol', 'heal.sol', 'heal.t.sol', 'flap.sol', 'bite.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'flop.t.sol', 'flap.t.sol', 'heal.sol', 'heal.t.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'flip.sol', 'flop.t.sol', 'flap.t.sol', 'heal.sol', 'flap.sol', 'frob.t.sol', 'bite.sol']
4,['flop.sol', 'join.sol', 'flip.sol', 'flop.t.sol', 'flap.t.sol', 'heal.t.sol', 'flap.sol', 'frob.t.sol', 'bite.sol']
2,['flop.sol', 'join.sol', 'flip.sol', 'flop.t.sol', 'heal.sol', 'heal.t.sol', 'flap.sol', 'frob.t.sol', 'bite.sol']
2,['flop.sol', 'join.sol', 'flip.sol', 'flap.t.sol', 'heal.sol', 'heal.t.sol', 'flap.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flip.t.sol', 'flop.t.sol', 'flap.t.sol', 'heal.sol', 'heal.t.sol']
4,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flip.t.sol', 'flop.t.sol', 'flap.t.sol', 'heal.sol', 'flap.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flip.t.sol', 'flop.t.sol', 'flap.t.sol', 'heal.sol', 'frob.t.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flip.t.sol', 'flop.t.sol', 'flap.t.sol', 'heal.sol', 'bite.sol']
4,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flip.t.sol', 'flop.t.sol', 'flap.t.sol', 'heal.t.sol', 'flap.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flip.t.sol', 'flop.t.sol', 'flap.t.sol', 'heal.t.sol', 'frob.t.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flip.t.sol', 'flop.t.sol', 'flap.t.sol', 'heal.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flip.t.sol', 'flop.t.sol', 'flap.t.sol', 'flap.sol', 'frob.t.sol']
5,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flip.t.sol', 'flop.t.sol', 'flap.t.sol', 'flap.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flip.t.sol', 'flop.t.sol', 'flap.t.sol', 'frob.t.sol', 'bite.sol']
4,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flip.t.sol', 'flop.t.sol', 'heal.sol', 'heal.t.sol', 'flap.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flip.t.sol', 'flop.t.sol', 'heal.sol', 'heal.t.sol', 'frob.t.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flip.t.sol', 'flop.t.sol', 'heal.sol', 'heal.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flip.t.sol', 'flop.t.sol', 'heal.sol', 'flap.sol', 'frob.t.sol']
4,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flip.t.sol', 'flop.t.sol', 'heal.sol', 'flap.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flip.t.sol', 'flop.t.sol', 'heal.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flip.t.sol', 'flop.t.sol', 'heal.t.sol', 'flap.sol', 'frob.t.sol']
4,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flip.t.sol', 'flop.t.sol', 'heal.t.sol', 'flap.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flip.t.sol', 'flop.t.sol', 'heal.t.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flip.t.sol', 'flop.t.sol', 'flap.sol', 'frob.t.sol', 'bite.sol']
4,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flip.t.sol', 'flap.t.sol', 'heal.sol', 'heal.t.sol', 'flap.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flip.t.sol', 'flap.t.sol', 'heal.sol', 'heal.t.sol', 'frob.t.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flip.t.sol', 'flap.t.sol', 'heal.sol', 'heal.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flip.t.sol', 'flap.t.sol', 'heal.sol', 'flap.sol', 'frob.t.sol']
4,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flip.t.sol', 'flap.t.sol', 'heal.sol', 'flap.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flip.t.sol', 'flap.t.sol', 'heal.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flip.t.sol', 'flap.t.sol', 'heal.t.sol', 'flap.sol', 'frob.t.sol']
4,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flip.t.sol', 'flap.t.sol', 'heal.t.sol', 'flap.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flip.t.sol', 'flap.t.sol', 'heal.t.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flip.t.sol', 'flap.t.sol', 'flap.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flip.t.sol', 'heal.sol', 'heal.t.sol', 'flap.sol', 'frob.t.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flip.t.sol', 'heal.sol', 'heal.t.sol', 'flap.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flip.t.sol', 'heal.sol', 'heal.t.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flip.t.sol', 'heal.sol', 'flap.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flip.t.sol', 'heal.t.sol', 'flap.sol', 'frob.t.sol', 'bite.sol']
4,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flop.t.sol', 'flap.t.sol', 'heal.sol', 'heal.t.sol', 'flap.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flop.t.sol', 'flap.t.sol', 'heal.sol', 'heal.t.sol', 'frob.t.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flop.t.sol', 'flap.t.sol', 'heal.sol', 'heal.t.sol', 'bite.sol']
4,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flop.t.sol', 'flap.t.sol', 'heal.sol', 'flap.sol', 'frob.t.sol']
4,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flop.t.sol', 'flap.t.sol', 'heal.sol', 'flap.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flop.t.sol', 'flap.t.sol', 'heal.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flop.t.sol', 'flap.t.sol', 'heal.t.sol', 'flap.sol', 'frob.t.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flop.t.sol', 'flap.t.sol', 'heal.t.sol', 'flap.sol', 'bite.sol']
2,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flop.t.sol', 'flap.t.sol', 'heal.t.sol', 'frob.t.sol', 'bite.sol']
4,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flop.t.sol', 'flap.t.sol', 'flap.sol', 'frob.t.sol', 'bite.sol']
4,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flop.t.sol', 'heal.sol', 'heal.t.sol', 'flap.sol', 'frob.t.sol']
4,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flop.t.sol', 'heal.sol', 'heal.t.sol', 'flap.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flop.t.sol', 'heal.sol', 'heal.t.sol', 'frob.t.sol', 'bite.sol']
4,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flop.t.sol', 'heal.sol', 'flap.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flop.t.sol', 'heal.t.sol', 'flap.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flap.t.sol', 'heal.sol', 'heal.t.sol', 'flap.sol', 'frob.t.sol']
4,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flap.t.sol', 'heal.sol', 'heal.t.sol', 'flap.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flap.t.sol', 'heal.sol', 'heal.t.sol', 'frob.t.sol', 'bite.sol']
4,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flap.t.sol', 'heal.sol', 'flap.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'flap.t.sol', 'heal.t.sol', 'flap.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'frob.sol', 'heal.sol', 'heal.t.sol', 'flap.sol', 'frob.t.sol', 'bite.sol']
4,['flop.sol', 'join.sol', 'transferFrom.sol', 'flip.t.sol', 'flop.t.sol', 'flap.t.sol', 'heal.sol', 'heal.t.sol', 'flap.sol']
4,['flop.sol', 'join.sol', 'transferFrom.sol', 'flip.t.sol', 'flop.t.sol', 'flap.t.sol', 'heal.sol', 'heal.t.sol', 'frob.t.sol']
4,['flop.sol', 'join.sol', 'transferFrom.sol', 'flip.t.sol', 'flop.t.sol', 'flap.t.sol', 'heal.sol', 'heal.t.sol', 'bite.sol']
4,['flop.sol', 'join.sol', 'transferFrom.sol', 'flip.t.sol', 'flop.t.sol', 'flap.t.sol', 'heal.sol', 'flap.sol', 'frob.t.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'flip.t.sol', 'flop.t.sol', 'flap.t.sol', 'heal.sol', 'flap.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'flip.t.sol', 'flop.t.sol', 'flap.t.sol', 'heal.sol', 'frob.t.sol', 'bite.sol']
4,['flop.sol', 'join.sol', 'transferFrom.sol', 'flip.t.sol', 'flop.t.sol', 'flap.t.sol', 'heal.t.sol', 'flap.sol', 'frob.t.sol']
4,['flop.sol', 'join.sol', 'transferFrom.sol', 'flip.t.sol', 'flop.t.sol', 'flap.t.sol', 'heal.t.sol', 'flap.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'flip.t.sol', 'flop.t.sol', 'flap.t.sol', 'heal.t.sol', 'frob.t.sol', 'bite.sol']
4,['flop.sol', 'join.sol', 'transferFrom.sol', 'flip.t.sol', 'flop.t.sol', 'flap.t.sol', 'flap.sol', 'frob.t.sol', 'bite.sol']
4,['flop.sol', 'join.sol', 'transferFrom.sol', 'flip.t.sol', 'flop.t.sol', 'heal.sol', 'heal.t.sol', 'flap.sol', 'frob.t.sol']
4,['flop.sol', 'join.sol', 'transferFrom.sol', 'flip.t.sol', 'flop.t.sol', 'heal.sol', 'heal.t.sol', 'flap.sol', 'bite.sol']
4,['flop.sol', 'join.sol', 'transferFrom.sol', 'flip.t.sol', 'flop.t.sol', 'heal.sol', 'heal.t.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'flip.t.sol', 'flop.t.sol', 'heal.sol', 'flap.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'flip.t.sol', 'flop.t.sol', 'heal.t.sol', 'flap.sol', 'frob.t.sol', 'bite.sol']
4,['flop.sol', 'join.sol', 'transferFrom.sol', 'flip.t.sol', 'flap.t.sol', 'heal.sol', 'heal.t.sol', 'flap.sol', 'frob.t.sol']
4,['flop.sol', 'join.sol', 'transferFrom.sol', 'flip.t.sol', 'flap.t.sol', 'heal.sol', 'heal.t.sol', 'flap.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'flip.t.sol', 'flap.t.sol', 'heal.sol', 'heal.t.sol', 'frob.t.sol', 'bite.sol']
3,['flop.sol', 'join.sol', 'transferFrom.sol', 'flip.t.sol', 'flap.t.sol', 'heal.sol', 'flap.sol', 'frob.t.sol', 'bite.sol']
4,['flop.sol', 'join.sol', 'transferFrom.sol', 'flip.t.sol', 'flap.t.sol', 'heal.t.sol', 'flap.sol', 'frob.t.sol', 'bite.sol']
4,['flop.sol', 'join.sol', 'transferFrom.sol', 'flip.t.sol', 'heal.sol', 'heal.t.sol', 'flap.sol', 'frob.t.sol', 'bite.sol']
